Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN20017,1,0,2,1,Meal_Plan_1,0,Room_Type_1,163,2018,10,15,Offline,0,0,0,115,0,Canceled
INN05909,2,0,2,2,Meal_Plan_1,0,Room_Type_1,174,2018,9,2,Online,0,0,0,119.85,1,Canceled
INN24458,2,0,2,4,Meal_Plan_1,0,Room_Type_1,160,2018,4,27,Offline,0,0,0,90,0,Canceled
INN10762,2,0,0,2,Not_Selected,0,Room_Type_1,163,2018,12,2,Online,0,0,0,79.2,0,Canceled
INN04584,2,0,1,5,Meal_Plan_1,0,Room_Type_4,79,2018,4,4,Online,0,0,0,96.62,1,Canceled
INN00902,2,1,0,3,Meal_Plan_1,0,Room_Type_1,124,2018,5,31,Online,0,0,0,143.1,1,Canceled
INN28424,1,0,,2,Meal_Plan_1,0,Room_Type_1,103,2018,4,19,Offline,0,0,0,115,0,Canceled
INN09306,2,0,2,1,Meal_Plan_1,0,Room_Type_4,202,2018,10,22,Online,0,0,0,109.8,0,Canceled
INN01117,2,0,1,2,Meal_Plan_2,0,Room_Type_1,418,2018,9,26,Online,0,0,0,107,0,Canceled
INN06459,2,0,1,3,Not_Selected,0,Room_Type_1,56,2018,12,26,Online,0,0,0,88.4,0,Canceled
INN20404,2,0,0,3,Meal_Plan_2,0,Room_Type_1,34,2017,9,23,Offline,0,0,0,224.67,0,Canceled
INN23504,2,0,0,1,Meal_Plan_1,0,Room_Type_1,3,2017,10,8,Corporate,0,0,0,65,0,Canceled
INN31410,2,2,2,7,Meal_Plan_1,0,Room_Type_6,151,2018,7,1,Online,0,0,0,167.45,2,Canceled
INN01666,,0,0,5,Meal_Plan_1,0,Room_Type_1,230,2018,9,6,Online,0,0,0,111,0,Canceled
INN11148,,0,0,1,Meal_Plan_1,0,Room_Type_1,443,2018,4,29,Offline,0,0,0,65,0,Canceled
INN19257,2,,1,1,Meal_Plan_1,0,Room_Type_1,218,2018,8,13,Online,0,0,0,69.33,0,Canceled
INN22869,2,1,0,3,Meal_Plan_1,0,Room_Type_1,42,2018,10,20,Online,0,0,0,164.33,1,Canceled
INN36190,2,0,0,3,Meal_Plan_1,0,Room_Type_1,195,2018,9,28,Online,0,0,0,126.9,0,Canceled
INN00969,2,0,0,1,Meal_Plan_1,0,Room_Type_1,105,2018,4,6,Online,0,0,0,75,0,Canceled
INN20189,3,0,1,0,Meal_Plan_1,0,Room_Type_1,28,2018,3,27,Online,0,0,0,167,0,Canceled
INN01750,1,0,0,1,Not_Selected,0,Room_Type_1,8,2018,5,25,Online,0,0,0,119,0,Canceled
INN29307,2,0,,1,Meal_Plan_1,0,Room_Type_4,0,2018,2,13,Online,0,0,0,106,0,Canceled
INN30082,2,2,0,1,Meal_Plan_1,0,Room_Type_2,111,2018,10,6,Online,0,0,0,221.4,1,Canceled
INN04681,2,0,0,2,Meal_Plan_1,0,Room_Type_1,308,2018,11,25,Online,0,0,0,52,0,Canceled
INN28574,1,0,2,1,Meal_Plan_1,0,Room_Type_1,1,2018,2,28,Offline,0,0,0,60,0,Canceled
INN14484,2,0,2,7,Meal_Plan_1,0,Room_Type_1,267,2018,12,23,Online,0,0,0,77.73,0,Canceled
INN22836,2,0,1,1,Meal_Plan_2,0,Room_Type_1,247,2018,6,6,Offline,0,0,0,115,1,Canceled
INN19513,2,0,7,17,Meal_Plan_1,0,,188,2018,7,4,Online,0,0,0,90.95,1,Canceled
INN08644,2,0,0,4,Meal_Plan_1,0,Room_Type_1,135,2018,6,14,Online,0,0,0,92.28,1,Canceled
INN00548,2,0,0,2,Meal_Plan_2,0,Room_Type_1,256,2018,6,15,Online,0,0,0,112,1,Canceled
INN13697,3,0,1,2,Not_Selected,0,Room_Type_1,14,2017,9,14,Online,0,0,0,100.87,0,Canceled
INN11580,2,1,1,2,Meal_Plan_1,0,Room_Type_1,52,2018,7,8,Online,0,0,0,132.9,0,Canceled
INN20323,2,0,2,5,Meal_Plan_1,0,Room_Type_1,206,2018,10,6,Online,0,0,0,102.85,1,Canceled
INN19932,2,0,1,0,Not_Selected,0,Room_Type_1,54,2018,4,18,Online,0,0,0,85.5,0,Canceled
INN35344,2,0,0,1,Not_Selected,0,Room_Type_1,98,2018,7,12,Online,0,0,0,94.5,0,Canceled
INN35333,2,0,1,4,Not_Selected,0,Room_Type_1,172,2018,6,27,Online,0,0,0,80.75,0,Canceled
INN14947,2,0,1,3,Meal_Plan_1,0,Room_Type_4,45,2018,3,28,Online,0,0,0,143.65,0,Canceled
INN08183,1,0,0,2,Meal_Plan_1,0,Room_Type_1,188,2018,6,15,Offline,0,0,0,130,0,Canceled
INN33387,2,1,2,2,Meal_Plan_1,0,Room_Type_1,171,2018,8,6,Online,0,0,0,114.75,2,Canceled
INN08697,2,,0,1,Not_Selected,1,Room_Type_1,153,2018,7,29,Online,0,0,0,103.5,1,Canceled
INN13100,3,0,2,2,Meal_Plan_1,0,Room_Type_4,28,2018,5,22,Online,0,0,0,149.15,0,Canceled
INN11862,,0,2,2,Meal_Plan_1,0,Room_Type_1,149,2018,8,20,Online,0,0,0,105.3,0,Canceled
INN31608,1,1,1,1,Meal_Plan_1,0,Room_Type_1,61,2018,7,23,Online,0,0,0,121.5,0,Canceled
INN14917,2,0,1,2,Meal_Plan_1,0,,118,2018,4,29,Online,0,0,0,99.3,1,Canceled
INN15493,2,1,2,1,Meal_Plan_1,0,Room_Type_1,68,2018,7,24,Online,0,0,0,121.5,0,Canceled
INN09916,2,0,,1,Meal_Plan_2,0,Room_Type_1,100,2017,10,16,Offline,0,0,0,108,0,Canceled
INN35195,3,0,1,4,Meal_Plan_1,0,Room_Type_1,102,2018,7,25,Offline,0,0,0,96.9,0,Canceled
INN09405,2,0,1,3,Meal_Plan_1,1,Room_Type_1,151,2018,7,11,Online,0,0,0,110.58,1,Canceled
INN26074,1,0,0,2,Meal_Plan_1,0,Room_Type_1,188,2018,6,15,Offline,0,0,0,130,0,Canceled
INN26107,2,0,1,2,Meal_Plan_1,0,Room_Type_1,91,2018,4,4,Offline,0,0,0,80,0,Canceled
INN28773,2,0,1,3,Meal_Plan_1,0,Room_Type_1,54,2018,3,17,Online,0,0,0,89.46,0,Canceled
INN35941,2,0,1,0,Meal_Plan_1,0,Room_Type_1,54,2018,6,20,Online,0,0,0,99.9,0,Canceled
INN01167,2,0,0,2,Not_Selected,0,Room_Type_1,163,2018,7,22,Online,0,0,0,94.5,0,Canceled
INN06281,2,0,1,1,Meal_Plan_2,0,Room_Type_1,301,2018,7,30,Online,0,0,0,115,1,Canceled
INN29932,2,1,2,5,Meal_Plan_1,0,Room_Type_1,177,2018,10,2,Online,0,0,0,125.1,1,Canceled
INN31128,2,0,2,2,Not_Selected,0,Room_Type_1,95,2018,5,21,Online,0,0,0,109.65,0,Canceled
INN25752,2,0,0,2,Meal_Plan_1,0,Room_Type_4,240,2018,9,30,Online,0,0,0,140.4,0,Canceled
INN26325,3,0,2,0,Meal_Plan_2,0,Room_Type_4,100,2018,5,15,Online,0,0,0,210.6,2,Canceled
INN02060,3,0,1,3,Meal_Plan_1,0,Room_Type_4,88,2018,10,10,Online,0,0,0,151.2,0,Canceled
INN18983,,0,0,1,Meal_Plan_1,0,Room_Type_1,105,2018,4,6,Offline,0,0,0,75,0,Canceled
INN25192,2,0,0,2,Meal_Plan_2,0,Room_Type_1,102,2017,10,16,Offline,0,0,0,101.5,0,Canceled
INN08711,2,0,1,2,Meal_Plan_1,0,Room_Type_1,121,2018,6,24,Offline,0,0,0,90,0,Canceled
INN24048,2,0,3,6,Not_Selected,0,Room_Type_1,314,2018,12,26,Online,0,0,0,68.66,0,Canceled
INN31906,1,0,0,3,Meal_Plan_1,0,Room_Type_1,214,2018,8,16,Online,0,0,0,90.9,0,Canceled
INN11504,2,0,1,2,Meal_Plan_1,0,Room_Type_1,233,2018,10,14,Offline,0,0,0,90,0,Canceled
INN05156,2,0,0,2,Meal_Plan_2,0,Room_Type_1,239,2018,6,15,Online,0,0,0,112.2,0,Canceled
INN19544,2,0,2,1,Meal_Plan_1,0,Room_Type_1,159,2018,8,7,Online,0,0,0,114.3,0,Canceled
INN36123,2,0,0,3,Meal_Plan_1,0,Room_Type_1,27,2018,5,10,Online,0,0,0,141,0,Canceled
INN00562,2,0,0,1,Meal_Plan_1,0,Room_Type_1,33,2018,11,26,Online,0,0,0,104,1,Canceled
INN35657,2,0,0,1,Meal_Plan_1,0,Room_Type_1,443,2018,4,29,Offline,0,0,0,65,0,Canceled
INN01744,2,0,0,2,Meal_Plan_1,0,Room_Type_1,248,2018,5,26,Online,0,0,0,118,0,Canceled
INN26577,2,0,0,2,Meal_Plan_1,0,Room_Type_1,245,2018,6,17,Offline,0,0,0,75,0,Canceled
INN14413,1,0,0,2,Meal_Plan_1,0,Room_Type_1,192,2018,6,24,Offline,0,0,0,110,0,Canceled
INN35868,2,0,0,2,Not_Selected,0,Room_Type_1,39,2018,3,11,Online,0,0,0,71.1,1,Canceled
INN00195,2,0,,10,Meal_Plan_1,0,Room_Type_4,147,2018,8,3,Online,0,0,0,118.88,1,Canceled
INN00333,2,0,2,1,Meal_Plan_2,0,Room_Type_1,110,2017,7,25,Online,0,0,0,94.5,0,Canceled
INN33115,2,0,0,1,Meal_Plan_1,0,Room_Type_1,35,2018,3,25,Offline,0,0,0,540,0,Canceled
INN27244,2,0,0,4,Meal_Plan_1,0,Room_Type_1,175,2018,10,4,Offline,0,0,0,82.28,0,Canceled
INN23069,2,0,2,10,Meal_Plan_1,0,Room_Type_1,239,2018,12,27,Online,0,0,0,78.77,0,Canceled
INN18009,2,0,0,5,Meal_Plan_1,0,Room_Type_1,230,2018,9,6,Offline,0,0,0,137,1,Canceled
INN20406,2,0,1,1,Meal_Plan_1,0,Room_Type_1,174,2017,10,10,Offline,0,0,0,70,0,Canceled
INN10140,2,0,0,3,Meal_Plan_1,0,Room_Type_1,279,2018,10,12,Offline,0,0,0,110,0,Canceled
INN05699,,0,1,4,Meal_Plan_1,0,Room_Type_1,227,2018,8,24,Online,0,0,0,90.95,0,Canceled
INN05106,2,0,1,2,Meal_Plan_1,0,Room_Type_1,273,2018,5,13,Online,0,0,0,95,0,Canceled
INN16264,2,0,1,2,Meal_Plan_1,0,Room_Type_1,418,2018,9,26,Offline,0,0,0,75,0,Canceled
INN01930,2,1,0,3,Meal_Plan_1,0,Room_Type_1,158,2018,7,7,Online,0,0,0,131.8,1,Canceled
INN20169,2,0,0,2,Meal_Plan_2,0,Room_Type_1,102,2017,10,16,Offline,0,0,0,101.5,0,Canceled
INN27483,2,0,0,2,Not_Selected,0,Room_Type_1,53,2018,5,6,Online,0,0,0,116.1,0,Canceled
INN30381,1,0,2,1,Meal_Plan_1,0,Room_Type_1,1,2018,2,28,Offline,0,0,0,60,0,Canceled
INN31939,1,2,0,3,Meal_Plan_1,0,Room_Type_4,101,2018,7,21,Online,0,0,0,142.3,0,Canceled
INN22160,2,0,2,2,Meal_Plan_1,0,Room_Type_1,121,2018,5,8,Online,0,0,0,99.45,0,Canceled
INN12540,3,0,0,3,Meal_Plan_1,0,Room_Type_1,8,2018,2,4,Online,0,0,0,127,0,Canceled
INN30286,2,0,2,3,Meal_Plan_1,0,Room_Type_1,207,2018,9,30,Online,0,0,0,106.25,2,Canceled
INN19759,2,0,0,2,Meal_Plan_2,0,Room_Type_1,346,2018,9,13,Offline,0,0,0,115,1,Canceled
INN35407,2,0,0,3,Meal_Plan_1,0,Room_Type_1,213,2018,6,7,Offline,0,0,0,130,0,Canceled
INN07285,2,0,0,2,Meal_Plan_2,0,Room_Type_1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
INN11836,2,0,0,3,Not_Selected,0,Room_Type_1,77,2018,3,31,Online,0,0,0,76.5,0,Canceled
INN32493,1,0,1,1,Meal_Plan_1,0,Room_Type_1,4,2018,9,26,Offline,0,0,0,98.1,0,Canceled
INN29551,2,0,2,2,Meal_Plan_1,1,Room_Type_1,169,2018,4,23,Online,0,0,0,118.25,2,Canceled
INN25344,1,0,1,3,Not_Selected,0,Room_Type_1,69,2018,11,7,Online,0,0,0,173,1,Canceled
INN08876,2,0,2,2,Meal_Plan_1,0,Room_Type_1,81,2018,3,25,Offline,0,0,0,65,0,Canceled
INN34043,3,0,2,1,Meal_Plan_1,0,Room_Type_4,52,2018,8,27,Online,0,0,0,150.9,1,Canceled
INN22928,2,0,0,2,Meal_Plan_1,0,Room_Type_1,308,2018,11,25,Offline,0,0,0,52,0,Canceled
INN33928,3,0,1,2,Meal_Plan_1,0,Room_Type_4,136,2018,9,30,Online,0,0,0,154.8,1,Canceled
INN22120,1,2,0,3,Meal_Plan_1,0,Room_Type_4,127,2018,12,27,Online,0,0,0,101.55,1,Canceled
INN14362,3,0,0,4,Meal_Plan_1,0,Room_Type_4,100,2018,8,24,Online,0,0,0,150.3,0,Canceled
INN26132,2,0,0,2,Meal_Plan_1,0,Room_Type_4,195,2018,8,30,Online,0,0,0,109.8,0,Canceled
INN36175,2,0,2,3,Meal_Plan_1,0,Room_Type_1,2,2018,5,28,Online,0,0,0,113.05,0,Canceled
INN06327,1,0,0,2,Meal_Plan_1,0,Room_Type_1,188,2018,6,15,Online,0,0,0,130,0,Canceled
INN00872,2,0,1,2,Meal_Plan_2,0,Room_Type_1,315,2018,9,30,Online,0,0,0,160,0,Canceled
INN05667,2,0,2,5,Meal_Plan_1,0,Room_Type_2,259,2018,11,12,Online,0,0,0,72,0,Canceled
INN00805,2,0,2,3,Meal_Plan_1,0,Room_Type_1,179,2018,9,2,Online,0,0,0,119.85,0,Canceled
INN26684,2,0,0,3,Not_Selected,0,Room_Type_1,100,2018,4,27,Online,0,0,0,91.5,0,Canceled
INN28632,2,0,1,2,Meal_Plan_2,0,Room_Type_1,315,2018,9,30,Offline,0,0,0,160,0,Canceled
INN34574,3,0,1,2,Meal_Plan_1,0,Room_Type_1,152,2018,8,5,Online,0,0,0,110.65,2,Canceled
INN24944,2,0,0,1,Meal_Plan_1,0,Room_Type_1,147,2018,8,6,Online,0,0,0,114.3,1,Canceled
INN03659,2,0,0,4,Meal_Plan_1,0,Room_Type_1,133,2018,11,2,Online,0,0,0,90,2,Canceled
INN22191,2,0,1,2,Meal_Plan_1,0,Room_Type_1,110,2018,10,10,Online,0,0,0,118.8,2,Canceled
INN07129,2,0,1,2,Meal_Plan_1,0,Room_Type_4,133,2018,8,19,Online,0,0,0,82.45,0,Canceled
INN12383,2,2,0,4,Meal_Plan_1,0,Room_Type_6,182,2018,12,27,Online,0,0,0,144.5,1,Canceled
INN10587,1,0,3,7,Meal_Plan_1,0,Room_Type_1,11,2018,11,18,Online,0,0,0,76.93,1,Canceled
INN12639,2,0,2,4,Not_Selected,0,Room_Type_1,194,2018,10,8,Online,0,0,0,105.6,1,Canceled
INN31446,2,0,0,2,Not_Selected,0,Room_Type_1,46,2018,6,28,Online,0,0,0,107.1,0,Canceled
INN03240,1,0,2,2,Meal_Plan_1,0,Room_Type_4,49,2018,4,10,Online,0,0,0,112.2,0,Canceled
INN06971,2,0,2,1,Meal_Plan_2,0,Room_Type_1,124,2017,8,8,Online,0,0,0,94.5,0,Canceled
INN01606,2,0,2,8,Not_Selected,0,Room_Type_1,80,2018,3,30,Online,0,0,0,73.1,0,Canceled
INN32694,1,0,1,4,Meal_Plan_1,0,Room_Type_4,143,2018,9,21,Online,0,0,0,143.1,1,Canceled
INN03186,2,0,1,2,Meal_Plan_2,0,Room_Type_1,161,2018,3,25,Online,0,0,0,130,0,Canceled
INN22970,2,0,0,4,Meal_Plan_1,0,Room_Type_1,189,2018,7,5,Online,0,0,0,90.95,1,Canceled
INN00272,2,0,2,4,Meal_Plan_1,0,Room_Type_1,28,2018,8,28,Online,0,0,0,115.37,1,Canceled
INN13781,2,0,1,3,Meal_Plan_1,0,Room_Type_4,114,2018,5,9,Online,0,0,0,107.95,0,Canceled
INN35669,2,0,0,2,Meal_Plan_1,0,Room_Type_1,297,2018,9,23,Online,0,0,0,118,1,Canceled
INN32323,1,0,6,15,Meal_Plan_1,0,Room_Type_4,17,2018,2,19,Online,0,0,0,103.39,1,Canceled
INN29416,1,0,0,3,Meal_Plan_1,0,Room_Type_1,166,2018,11,1,Offline,0,0,0,110,0,Canceled
INN04085,2,1,0,3,Meal_Plan_1,0,Room_Type_1,38,2018,3,24,Online,0,0,0,133.8,0,Canceled
INN15044,2,0,1,3,Meal_Plan_1,0,Room_Type_1,250,2018,9,26,Offline,0,0,0,95,0,Canceled
INN23157,1,0,2,2,Meal_Plan_1,0,Room_Type_1,162,2018,10,14,Offline,0,0,0,115,0,Canceled
INN32787,3,0,2,2,Meal_Plan_1,0,Room_Type_4,26,2018,4,10,Online,0,0,0,153,0,Canceled
INN24279,2,0,0,4,Not_Selected,0,Room_Type_1,56,2018,3,15,Online,0,0,0,68.64,0,Canceled
INN17757,2,0,0,3,Meal_Plan_1,0,Room_Type_1,55,2018,4,6,Online,0,0,0,118.33,1,Canceled
INN18157,2,0,2,2,Meal_Plan_1,0,Room_Type_1,38,2018,8,21,Online,0,0,0,135.9,0,Canceled
INN25265,2,0,1,3,Not_Selected,0,Room_Type_1,39,2018,11,7,Online,0,0,0,148,0,Canceled
INN15646,2,1,1,4,Meal_Plan_1,0,Room_Type_1,93,2018,8,3,Online,0,0,0,134.1,0,Canceled
INN18119,2,0,0,3,Meal_Plan_1,0,Room_Type_1,314,2018,10,12,Offline,0,0,0,75,0,Canceled
INN01816,2,0,0,2,Meal_Plan_2,0,Room_Type_1,256,2018,6,15,Online,0,0,0,115,1,Canceled
INN10356,2,0,0,2,Meal_Plan_2,0,Room_Type_1,256,2018,6,15,Offline,0,0,0,115,1,Canceled
INN25926,2,0,0,2,Meal_Plan_2,0,Room_Type_1,102,2017,10,16,Offline,0,0,0,101.5,0,Canceled
INN14594,2,0,0,3,Meal_Plan_1,0,Room_Type_1,193,2017,10,15,Offline,0,0,0,65,0,Canceled
INN05502,2,2,0,1,Meal_Plan_1,0,Room_Type_2,32,2018,9,2,Online,0,0,0,198.9,0,Canceled
INN09640,2,0,1,2,Meal_Plan_1,0,Room_Type_1,280,2018,9,19,Offline,0,0,0,110,0,Canceled
INN22130,2,0,1,2,Meal_Plan_1,0,Room_Type_1,280,2018,9,19,Offline,0,0,0,110,0,Canceled
INN31970,2,0,1,2,Meal_Plan_1,0,Room_Type_4,8,2018,3,11,Online,0,0,0,124,0,Canceled
INN31694,1,0,2,4,Meal_Plan_1,0,Room_Type_1,69,2018,6,12,Offline,0,0,0,120,0,Canceled
INN18461,1,0,0,2,Meal_Plan_1,0,Room_Type_1,188,2018,6,15,Offline,0,0,0,130,0,Canceled
INN22510,2,0,2,3,Meal_Plan_1,0,Room_Type_1,211,2018,7,30,Online,0,0,0,90.95,0,Canceled
INN27033,2,0,0,3,Meal_Plan_1,0,Room_Type_1,43,2018,7,19,Online,0,0,0,123.9,0,Canceled
INN30737,2,0,2,1,Meal_Plan_1,0,Room_Type_4,9,2018,3,5,Offline,0,0,0,92,0,Canceled
INN26451,2,0,1,3,Meal_Plan_1,0,Room_Type_1,162,2018,8,15,Online,0,0,0,105.83,1,Canceled
INN05037,2,0,1,0,Meal_Plan_1,0,Room_Type_4,131,2018,12,26,Online,0,0,0,103.5,0,Canceled
INN35770,2,0,0,1,Not_Selected,0,Room_Type_1,17,2018,7,23,Online,0,0,0,139,1,Canceled
INN25363,2,0,0,2,Meal_Plan_1,0,Room_Type_4,45,2018,3,17,Online,0,0,0,103.95,1,Canceled
INN25086,1,0,1,3,Not_Selected,0,Room_Type_1,39,2018,3,10,Online,0,0,0,51.28,1,Canceled
INN02158,3,0,2,1,Meal_Plan_1,0,Room_Type_4,172,2018,8,21,Online,0,0,0,107.1,1,Canceled
INN01202,2,0,1,1,Meal_Plan_1,0,Room_Type_1,94,2018,10,31,Online,0,0,0,90.45,0,Canceled
INN14839,2,0,1,2,Meal_Plan_1,0,Room_Type_1,267,2018,9,30,Offline,0,0,0,95,0,Canceled
INN19546,2,0,1,2,Meal_Plan_1,0,Room_Type_1,10,2018,10,3,Offline,0,0,0,105,0,Canceled
INN03121,2,1,2,1,Meal_Plan_1,0,Room_Type_1,23,2018,6,18,Online,0,0,0,149,0,Canceled
INN08456,2,0,2,0,Meal_Plan_1,0,Room_Type_1,175,2018,9,18,Online,0,0,0,126.9,0,Canceled
INN13608,2,0,0,2,Meal_Plan_1,0,Room_Type_1,280,2018,8,4,Online,0,0,0,73.46,0,Canceled
INN25745,1,0,0,1,Meal_Plan_1,0,Room_Type_1,8,2018,2,19,Corporate,0,0,0,81,0,Canceled
INN25474,1,0,0,3,Meal_Plan_1,0,Room_Type_1,113,2018,5,31,Corporate,0,0,0,100,0,Canceled
INN13726,3,0,0,2,Meal_Plan_1,0,Room_Type_4,130,2018,6,9,Online,0,0,0,159.3,0,Canceled
INN23216,2,0,0,2,Meal_Plan_1,0,Room_Type_1,308,2018,11,25,Offline,0,0,0,52,0,Canceled
INN35026,2,0,0,2,Meal_Plan_1,0,Room_Type_4,101,2018,7,22,Online,0,0,0,123.3,0,Canceled
INN04292,2,0,2,2,Not_Selected,0,Room_Type_1,95,2018,5,21,Online,0,0,0,109.65,0,Canceled
INN18022,2,0,0,2,Meal_Plan_2,0,Room_Type_1,102,2017,10,16,Offline,0,0,0,101.5,0,Canceled
INN15941,2,0,0,2,Meal_Plan_2,0,Room_Type_1,377,2018,10,14,Offline,0,0,0,115,1,Canceled
INN13352,2,0,0,4,Meal_Plan_1,0,Room_Type_1,146,2018,6,1,Online,0,0,0,100.3,0,Canceled
INN29286,1,0,0,2,Meal_Plan_2,0,Room_Type_1,102,2017,10,16,Offline,0,0,0,87,0,Canceled
INN35887,2,0,1,3,Meal_Plan_1,0,Room_Type_1,114,2018,12,1,Online,0,0,0,85,1,Canceled
INN13884,2,0,0,1,Meal_Plan_1,0,Room_Type_1,105,2018,4,6,Offline,0,0,0,75,0,Canceled
INN33163,2,0,1,2,Meal_Plan_1,0,Room_Type_1,158,2018,8,29,Online,0,0,0,96.3,0,Canceled
INN05586,2,0,1,1,Not_Selected,0,Room_Type_1,151,2018,8,13,Online,0,0,0,103.5,0,Canceled
INN02299,2,0,0,3,Meal_Plan_1,0,Room_Type_4,60,2018,3,10,Online,0,0,0,87.3,0,Canceled
INN26375,1,0,5,10,Meal_Plan_1,0,Room_Type_1,11,2018,5,9,Aviation,0,0,0,95,0,Canceled
INN07107,1,0,2,1,Meal_Plan_1,0,Room_Type_1,93,2018,10,15,Online,0,0,0,115,0,Canceled
INN28437,3,0,1,2,Meal_Plan_1,0,Room_Type_1,144,2018,4,22,Offline,0,0,0,105.4,1,Canceled
INN19467,2,0,0,2,Not_Selected,0,Room_Type_1,93,2018,6,28,Online,0,0,0,103.5,0,Canceled
INN03062,2,0,1,1,Not_Selected,0,Room_Type_1,125,2018,12,26,Online,0,0,0,79.2,1,Canceled
INN03225,2,0,1,1,Meal_Plan_2,0,Room_Type_1,301,2018,7,30,Online,0,0,0,115,1,Canceled
INN29569,2,0,0,2,Meal_Plan_1,0,Room_Type_1,245,2018,10,28,Online,0,0,0,96.3,0,Canceled
INN02282,2,0,1,2,Meal_Plan_2,0,Room_Type_1,418,2018,9,26,Online,0,0,0,107,0,Canceled
INN28463,2,0,2,0,Meal_Plan_1,0,Room_Type_1,146,2018,4,24,Offline,0,0,0,95,0,Canceled
INN26310,3,0,2,3,Meal_Plan_1,0,Room_Type_4,42,2018,4,24,Online,0,0,0,134.98,0,Canceled
INN09949,2,0,1,2,Meal_Plan_1,0,Room_Type_4,18,2018,7,8,Online,0,0,0,166,0,Canceled
INN05513,2,0,0,3,Meal_Plan_1,0,Room_Type_1,204,2018,5,5,Online,0,0,0,100,0,Canceled
INN02940,1,0,0,2,Meal_Plan_1,0,Room_Type_1,181,2018,10,11,Online,0,0,0,120,0,Canceled
INN14488,2,1,0,1,Meal_Plan_1,0,Room_Type_1,47,2018,7,5,Online,0,0,0,134.1,0,Canceled
INN35123,2,2,0,2,Meal_Plan_1,0,Room_Type_6,188,2018,7,7,Online,0,0,0,168.3,0,Canceled
INN08489,2,0,1,2,Meal_Plan_2,0,Room_Type_1,315,2018,9,30,Offline,0,0,0,160,0,Canceled
INN06854,1,0,2,4,Meal_Plan_1,0,Room_Type_1,69,2018,6,12,Online,0,0,0,120,0,Canceled
INN21383,2,0,1,2,Meal_Plan_1,0,Room_Type_1,168,2018,4,22,Offline,0,0,0,85,0,Canceled
INN15456,2,0,2,1,Meal_Plan_2,0,Room_Type_1,124,2017,8,8,Offline,0,0,0,94.5,0,Canceled
INN27535,1,0,2,4,Meal_Plan_1,0,Room_Type_4,53,2018,6,18,Online,0,0,0,122.4,1,Canceled
INN14627,2,0,2,5,Meal_Plan_1,0,Room_Type_1,134,2018,6,9,Online,0,0,0,119.85,1,Canceled
INN18916,2,0,2,5,Not_Selected,0,Room_Type_1,50,2018,11,20,Online,0,0,0,74.8,1,Canceled
INN29045,2,0,0,2,Meal_Plan_1,0,Room_Type_1,308,2018,11,25,Offline,0,0,0,52,0,Canceled
